"Ego1","Ego1M","Ego2","Ego2M","Ego2certainty","SharingUnitID"
"LB2806",0,"LB2812",1,0.25,"LBSU388"
"LB2690",1,"LB2691",0,1,"LBSU364"
"LB2699",1,"LB2700",0,1,"LBSU365"
"LB2719",1,"LB2718",0,1,"LBSU368"
"LB2727",1,"LB2726",0,1,"LBSU370"
"LB2729",1,"LB2730",0,1,"LBSU371"
"LB2802",0,"LB2800",1,1,"LBSU386"
"LB2773",1,"LB2771",0,1,"LBSU380"
"LB2776",1,"LB2775",0,0.5,"LBSU381"
"LB2793",1,"LB2798",0,0.5,"LBSU385"
"LB2805",1,"LB2804",0,1,"LBSU387"
"LB6083",1,"LB6084",0,1,"LBSU820"
"LB2791",0,"LB2792",1,1,"LBSU384"
"LB6168",1,"LB6169",0,0.99,"LBSU835"
"LB6177",1,"LB6182",0,1,"LBSU837"
"LB2822",1,"LB2823",0,1,"LBSU390"
"LB2712",1,"LB2713",0,1,"LBSU367"
"LB2735",1,"LB2734",0,0.5,"LBSU372"
"LB6172",1,"LB6174",0,0.5,"LBSU836"
"LB2817",1,"LB2818",0,1,"LBSU389"
"LB2787",0,"LB2785",1,0.5,"LBSU383"
"LB2781",0,"LB2780",1,1,"LBSU382"
"LB2766",0,"LB2767",1,1,"LBSU379"
"LB2759",1,NA,NA,NA,"LBSU377"
"LB2762",0,"LB2765",1,1,"LBSU378"
"LB2753",0,"LB2755",1,1,"LBSU375"
"LB2750",0,"LB2749",1,1,"LBSU374"
"LB2743",0,NA,NA,NA,"LBSU373"
"LB2722",0,"LB2721",1,1,"LBSU369"
"LB2705",0,"LB2704",1,1,"LBSU366"
